product,xgboost_model,feature_lag,mae,rmse,mape,directional_accuracy
tomato,xg-boost model_1,only target lag,0.19898140271504722,0.24545079262879582,4.354901165329583,0.7142857142857143
tomato,xg-boost model_2,target lag + external (non-lagged),0.17266206741333012,0.2173158278231214,3.8131166975050763,0.696969696969697
tomato,xg-boost model_3,all selective csv features + lagged target,0.19864665985107421,0.2339435214021395,4.358743602313049,0.6857142857142857
tomato,xg-boost model_4,selected external features only,0.23138061682383218,0.285168625414782,4.967280222404422,0.6170212765957447
