date,us_cad_l,mx_cad_l,ca_cad_l,integrated_gas_price
2016-01,0.8053636990444891,1.0838367,0.9470000000000001,0.8752219293311423
2016-02,0.7277527137086868,1.0510343999999998,0.9057058823529412,0.8102043678313748
2016-03,0.7293503213654531,1.0738568,0.9266470588235294,0.8179812908381701
2016-04,0.7287014088302193,1.0697387999999999,0.9186470588235295,0.8159034520635065
2016-05,0.7915402822943881,1.0604096,0.953294117647059,0.8614895293707776
2016-06,0.8248829320998253,1.0464768,1.0137058823529412,0.8880840007051718
2016-07,0.8288568477390823,1.080241,1.0095882352941177,0.8972068169467694
2016-08,0.8069546759796163,1.103872,0.982,0.8838426731857314
2016-09,0.8286074163696932,1.0875144,1.0028235294117647,0.8978104243999617
2016-10,0.8591635252191968,1.1385345,1.052470588235294,0.9343684264769672
2016-11,0.8659606224953177,1.10748,1.056,0.9332684357467224
2016-12,0.8842730377951131,1.091539,1.0763529411764705,0.9449342205742263
2017-01,0.8991876705561617,1.0511325,1.114176470588235,0.9510755164481366
2017-02,0.8891712126295435,1.114695,1.1039411764705882,0.9557529664877392
2017-03,0.9031477171561336,1.2106848000000001,1.0931764705882354,0.9836580090681171
2017-04,0.9170874489157054,1.2632004,1.0947647058823529,1.004077764829229
2017-05,0.920215247489704,1.2928533,1.0692941176470587,1.0096507450074987
2017-06,0.8821046597330277,1.3221399000000003,1.0491176470588235,0.9868130065190017
2017-07,0.836679355736895,1.2992521000000001,1.0225882352941178,0.9477847925452383
2017-08,0.8641065300720397,1.3045044000000001,1.0511176470588237,0.9708872157563102
2017-09,0.9036842772645499,1.2825456,1.0851176470588235,0.9975998787910674
2017-10,0.9303713468290092,1.2597057,1.1219411764705882,1.0153952004273652
2017-11,0.9812681057005712,1.2835552000000001,1.201470588235294,1.0637457728139292
2017-12,0.9814218010730672,1.281024,1.216764705882353,1.0648765313393824
2018-01,0.9907694542995341,1.275162,1.2511764705882353,1.0736886650684974
2018-02,1.012755712062894,1.3187545999999999,1.251294117647059,1.0978093302087317
2018-03,1.0207828478289007,1.3669727999999999,1.247,1.1126425534802304
2018-04,1.0414028599279868,1.3729314,1.2580588235294117,1.129374164302532
2018-05,1.1031833275655742,1.3166221,1.3062352941176472,1.1661762787076666
2018-06,1.1282433606927649,1.3009159,1.3201764705882355,1.1819711795437589
2018-07,1.1213921345376061,1.4027175,1.3038823529411763,1.195906229470442
2018-08,1.1086233195347401,1.4093568,1.2943529411764707,1.1873429777919653
2018-09,1.1234369328553577,1.408358,1.309764705882353,1.1990539235869855
2018-10,1.1565101270403997,1.402104,1.3465882352941176,1.2246367124576913
2018-11,1.1507340023933998,1.3576722,1.3288823529411764,1.2099364769694976
2018-12,1.1081530402254973,1.4003375999999998,1.253294117647059,1.181104059922554
2019-01,1.047098729067657,1.464129,1.206,1.14639491034736
2019-02,1.0455507329457046,1.4401933,1.2254705882352943,1.1424712318855226
2019-03,1.0862751458890847,1.442125,1.2615882352941175,1.174976425651771
2019-04,1.1029911687241276,1.4510958,1.2975294117647058,1.1920659192833598
2019-05,1.123891441085642,1.4374763000000002,1.3115882352941177,1.205378092289361
2019-06,1.0842562100274473,1.3946562,1.246,1.1625105870192132
2019-07,1.0538500453055282,1.3797267999999998,1.2334117647058824,1.136981568184458
2019-08,1.0539779046391275,1.3409837999999998,1.2178235294117647,1.1277636461885658
2019-09,1.054967784203032,1.3347612000000002,1.2303529411764706,1.1284649830597695
2019-10,1.0637967881946735,1.3334095999999998,1.2722941176470588,1.1385690835009772
2019-11,1.0733445254278928,1.3260702,1.2985294117647057,1.1464081489759956
2019-12,1.063040991596683,1.3221910000000001,1.3042941176470588,1.1389963058823838
2020-01,1.0537610456991449,1.3237919999999999,1.2991176470588235,1.1323028966952837
2020-02,1.0213493386449553,1.3287365,1.2319411764705883,1.1038859546985276
2020-03,1.005907867311599,1.1693021000000001,1.1034117647058823,1.0483371035887077
2020-04,0.9258335028438133,1.073555,0.980764705882353,0.9608709225789046
2020-05,0.8827640863209004,1.1218914,0.9124117647058823,0.9335543168952186
2020-06,0.8619515455393206,1.1653443,0.9616470588235293,0.9325996477598774
2020-07,0.8679790564298188,1.176045,1.008,0.9435943395008731
2020-08,0.8484216504949265,1.1820663,1.010470588235294,0.9313554741699778
