Date,MEAN_C_lag_0,PRECIPITATION_MM_lag_6,MXN_CAD_lag_0,USD_CAD_lag_0,integrated_gas_price_lag_0,import_qty_lag_0
2026-01,22.1,230.7,0.07807,1.3778,1.33751350993606,25748251.0
2026-02,21.5,235.8,0.07807,1.3778,1.33751350993606,22848332.0
2026-03,22.0,250.2,0.07807,1.3778,1.33751350993606,20831652.0
2026-04,24.9,61.9,0.07807,1.3778,1.33751350993606,16223747.0
