product,model,mae,rmse,mape,directional_accuracy,n_obs,n_folds,cv_initial_window,cv_horizon
tomato,baseline_naive,0.29604166666666676,0.36217801792304666,6.3465293967913965,0.5106382978723404,48,48,60,1
tomato,baseline_seasonal_naive,0.19062499999999996,0.26645434255546796,4.065084711433445,0.7446808510638298,48,48,60,1
tomato,sarima_raw,0.19849645792042403,0.25519234159746096,4.2657576157263755,0.7659574468085106,48,48,60,1
tomato,sarima_log,0.1940401029057975,0.2522734910342104,4.166832200793716,0.7659574468085106,48,48,60,1
