product,xgboost_model,feature_lag,mae,rmse,mape,directional_accuracy
avocado,xg-boost model_1,only target lag,0.10699605597390066,0.12218150122168123,6.663773707852096,0.45714285714285713
avocado,xg-boost model_2,target lag + external (non-lagged),0.11404306664186364,0.13197206504981787,7.081880368158025,0.36363636363636365
avocado,xg-boost model_3,all selective csv features + lagged target,0.11704731808768377,0.14035162791727165,7.397128071857815,0.37142857142857144
avocado,xg-boost model_4,selected external features only,0.1595214264591535,0.20800297805255683,9.782746001712729,0.425531914893617
