refYear,refMonth,partnerDesc,qty,altQty,netWgt,fobvalue,primaryValue
2019,7,Mexico,4879007,4879007,4879007,7521339.512,7521339.512
2019,7,USA,6779370,6779370,6779370,7794250.841,7794250.841
2019,8,Mexico,3873161,3873161,3873161,6524037.142,6524037.142
2019,8,USA,4809165,4809165,4809165,5691090.439,5691090.439
2019,9,Mexico,5222581,5222581,5222581,8035751.052,8035751.052
2019,9,USA,5220317,5220317,5220317,5700928.309,5700928.309
2019,10,Mexico,9320583,9320583,9320583,14636621.365,14636621.365
2019,10,USA,5393417,5393417,5393417,7326597.801,7326597.801
2019,11,Mexico,12041690,12041690,12041690,19768358.576,19768358.576
2019,11,USA,6454012,6454012,6454012,9146116.327,9146116.327
2019,12,Mexico,11932783,11932783,11932783,23654939.241,23654939.241
2019,12,USA,5863170,5863170,0,11696190.221,11696190.221
2020,1,Mexico,17628030,17628030,17628030,34211067.71,34211067.71
2020,1,USA,6185902,6185902,6185902,12959825.448,12959825.448
2020,2,Mexico,15780083,15780083,15780083,27715647.305,27715647.305
2020,2,USA,4467671,4467671,4467671,8266450.049,8266450.049
2020,3,Mexico,19336489,19336489,19336489,32491583.472,32491583.472
2020,3,USA,4180078.42,4180078,4180078.42,7518515.32,7518515.32
2020,4,Mexico,9805423,9805423,9805423,15411714.703,15411714.703
2020,4,USA,3137257,3137257,3137257,4715754.899,4715754.899
2020,5,Mexico,7105277,7105277,7105277,10615730.644,10615730.644
2020,5,USA,3532656,3532656,3532656,6551168.324,6551168.324
2020,6,Mexico,6632907,6632907,6632907,10335317.973,10335317.973
2020,6,USA,4337200,4337200,4337200,7143378.446,7143378.446
2020,7,Mexico,6722579,6722579,6722579,10717212.013,10717212.013
2020,7,USA,5242220,5242220,5242220,6902797.399,6902797.399
2020,8,Mexico,4939524,4939524,4939524,7959329.692,7959329.692
2020,8,USA,4494728,4494728,4494728,5351500.928,5351500.928
2020,9,Mexico,6537549,6537549,6537549,9729526.17,9729526.17
2020,9,USA,4395699.105,4395698,4395699.105,5180477.776,5180477.776
2020,10,Mexico,11372382,11372382,11372382,18567495.303,18567495.303
2020,10,USA,4257337,4257337,4257337,8034906.07,8034906.07
2020,11,Mexico,12687169,12687169,12687169,22841666.063,22841666.063
2020,11,USA,5234146,5234146,5234146,9121096.84,9121096.84
2020,12,Mexico,13907253,13907253,13907253,26066418.702,26066418.702
2020,12,USA,5024945,5024945,5024945,8155714.429,8155714.429
2021,1,Mexico,19806727,19806727,19806727,33368572.467,33368572.467
2021,1,USA,4041082,4041082,4041082,7247179.494,7247179.494
2021,2,Mexico,20978920,20978920,20978920,28670467.102,28670467.102
2021,2,USA,3789623,3789623,3789623,5334441.773,5334441.773
2021,3,Mexico,18763858,18763858,18763858,28201819.956,28201819.956
2021,3,USA,5061578,5061578,5061578,6686895.148,6686895.148
2021,4,Mexico,11921201,11921201,11921201,17878063.649,17878063.649
2021,4,USA,4946083,4946083,4946083,5684405.445,5684405.445
2021,5,Mexico,7586261,7586261,7586261,11755328.285,11755328.285
2021,5,USA,4466284,4466284,4466284,6571767.692,6571767.692
2021,6,Mexico,6249210,6249210,6249210,11113513.575,11113513.575
2021,6,USA,5431781.975,5431781,5431781.975,8446711.922,8446711.922
2021,7,Mexico,6033573,6033573,6033573,10952097.494,10952097.494
2021,7,USA,5240783,5240783,5240783,6397612.384,6397612.384
2021,8,Mexico,5438646,5438646,5438646,10013388.319,10013388.319
2021,8,USA,4107895,4107895,4107895,4878004.318,4878004.318
2021,9,Mexico,7018393,7018393,7018393,12088003.977,12088003.977
2021,9,USA,4415287,4415287,4415287,6120386.985,6120386.985
2021,10,Mexico,10735333,10735333,10735333,20688425.076,20688425.076
2021,10,USA,5628072,5628072,5628072,11470279.024,11470279.024
2021,11,Mexico,11034430,11034430,11034430,22150966.919,22150966.919
2021,11,USA,6545016,6545016,6545016,10857610.878,10857610.878
2021,12,Mexico,13374423,13374423,13374423,22506207.223,22506207.223
2021,12,USA,7596526,7596526,7596526,10543618.377,10543618.377
2022,1,Mexico,16910716,16910716,16910716,26498834.592,26498834.592
2022,1,USA,6501386,6501386,6501386,9126452.961,9126452.961
