PERIOD,STATE_ID,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM
2016-04-01,1,Aguascalientes,9.0,18.7,28.4,1.7
2016-04-01,2,Baja California,11.3,18.7,26.1,13.9
2016-04-01,3,Baja California Sur,14.6,22.0,29.5,2.6
2016-04-01,4,Campeche,23.2,29.9,36.6,19.3
2016-04-01,5,Coahuila,15.0,22.5,29.9,28.5
2016-04-01,6,Colima,18.6,26.5,34.5,0.2
2016-04-01,7,Chiapas,21.3,28.6,35.9,28.9
2016-04-01,8,Chihuahua,8.6,18.3,28.1,7.1
2016-04-01,9,Ciudad de México,10.6,19.0,27.4,19.0
2016-04-01,10,Durango,9.3,19.3,29.3,3.1
2016-04-01,11,Guanajuato,11.5,21.1,30.6,10.0
2016-04-01,12,Guerrero,18.9,26.5,34.2,9.9
2016-04-01,13,Hidalgo,12.7,21.4,30.1,33.2
2016-04-01,14,Jalisco,12.1,22.2,32.2,1.1
2016-04-01,15,Estado de México,7.8,17.0,26.2,18.5
2016-04-01,16,Michoacán,12.2,21.4,30.5,3.9
2016-04-01,17,Morelos,16.1,24.8,33.4,47.4
2016-04-01,18,Nayarit,17.4,26.4,35.5,1.1
2016-04-01,19,Nuevo León,16.3,23.7,31.1,45.2
2016-04-01,20,Oaxaca,18.8,26.2,33.7,19.9
2016-04-01,21,Puebla,11.9,20.2,28.4,53.9
2016-04-01,22,Querétaro,13.5,22.3,31.0,26.0
2016-04-01,23,Quintana Roo,23.9,29.0,34.1,52.3
2016-04-01,24,San Luis Potosí,17.0,24.7,32.3,29.7
2016-04-01,25,Sinaloa,14.9,24.6,34.3,1.5
2016-04-01,26,Sonora,11.1,21.1,31.2,3.3
2016-04-01,27,Tabasco,23.8,29.0,34.2,30.6
2016-04-01,28,Tamaulipas,19.9,25.7,31.6,52.6
2016-04-01,29,Tlaxcala,8.1,17.1,26.0,34.8
2016-04-01,30,Veracruz,18.6,24.9,31.1,30.3
2016-04-01,31,Yucatán,20.9,28.6,36.2,23.7
2016-04-01,32,Zacatecas,8.9,18.7,28.6,3.8
2016-05-01,0,Mexico,16.9,24.9,32.9,37.2
2016-05-01,1,Aguascalientes,12.2,22.1,32.0,6.3
2016-05-01,2,Baja California,13.4,19.8,26.1,2.7
2016-05-01,3,Baja California Sur,17.0,23.6,30.2,3.1
2016-05-01,4,Campeche,24.3,31.1,37.9,61.7
2016-05-01,5,Coahuila,18.3,25.3,32.2,46.7
2016-05-01,6,Colima,20.7,27.8,34.9,5.5
2016-05-01,7,Chiapas,22.3,28.9,35.5,143.8
2016-05-01,8,Chihuahua,11.9,21.6,31.2,11.7
2016-05-01,9,Ciudad de México,12.0,19.9,27.9,51.8
2016-05-01,10,Durango,12.2,21.9,31.5,8.9
2016-05-01,11,Guanajuato,14.5,23.7,32.9,42.2
2016-05-01,12,Guerrero,20.2,27.5,34.9,45.4
2016-05-01,13,Hidalgo,15.2,23.2,31.3,49.4
2016-05-01,14,Jalisco,15.7,25.2,34.6,19.6
