feature,importance
lag1,0.3127081
MEAN_C_lag_0,0.18772922
lag2,0.11331054
import_qty_lag_0,0.08393778
lag3,0.052501492
MXN_CAD_lag_7,0.051577836
lag6,0.049968466
PRECIPITATION_MM_lag_5,0.042724047
integrated_gas_price_lag_1,0.039787874
lag12,0.038130455
USD_CAD_lag_0,0.02762417
