model_name,mae,rmse,mape
model_1_target_lags_only,0.21464898681640618,0.26208207570536696,4.762294700001143
model_2_target_lags_plus_external,0.19553927170602897,0.23555420104135735,4.439306949625169
model_3_selective_features_plus_target_lags,0.2152974304399992,0.2781828932288875,5.949045893238448
model_4_core_lags_mean_temp_gas,0.16227921184740565,0.21775843089043526,4.4955334982396655
