date,us_cad_l,ca_cad_l,integrated_gas_price
2016-01,0.8053636990444890,0.9470000000000000,0.8336909592355910
2016-02,0.7277527137086870,0.9057058823529410,0.7633433474375380
2016-03,0.7293503213654530,0.9266470588235290,0.7688096688570680
2016-04,0.7287014088302190,0.9186470588235300,0.7666905388288810
2016-05,0.7915402822943880,0.953294117647059,0.8238910493649220
2016-06,0.8248829320998250,1.0137058823529400,0.8626475221504490
2016-07,0.8288568477390820,1.0095882352941200,0.8650031252500890
2016-08,0.8069546759796160,0.982,0.8419637407836930
2016-09,0.8286074163696930,1.0028235294117600,0.8634506389781080
2016-10,0.8591635252191970,1.052470588235290,0.8978249378224160
2016-11,0.8659606224953180,1.056,0.9039684979962540
2016-12,0.8842730377951130,1.0763529411764700,0.9226890184713850
2017-01,0.8991876705561620,1.114176470588240,0.9421854305625760
2017-02,0.8891712126295440,1.1039411764705900,0.9321252053977530
2017-03,0.9031477171561340,1.0931764705882400,0.9411534678425540
2017-04,0.9170874489157050,1.0947647058823500,0.952622900309035
2017-05,0.920215247489704,1.0692941176470600,0.950031021521175
2017-06,0.8821046597330280,1.0491176470588200,0.9155072571981870
2017-07,0.836679355736895,1.0225882352941200,0.8738611316483400
2017-08,0.8641065300720400,1.0511176470588200,0.9015087534693970
2017-09,0.9036842772645500,1.0851176470588200,0.9399709512234050
2017-10,0.9303713468290090,1.1219411764705900,0.9686853127573250
2017-11,0.9812681057005710,1.201470588235290,1.0253086022075200
2017-12,0.9814218010730670,1.216764705882350,1.0284903820349200
2018-01,0.9907694542995340,1.2511764705882400,1.0428508575572700
2018-02,1.012755712062890,1.251294117647060,1.0604633931797300
2018-03,1.0207828478289000,1.247,1.0660262782631200
2018-04,1.0414028599279900,1.2580588235294100,1.0847340526482700
2018-05,1.1031833275655700,1.3062352941176500,1.143793720875990
2018-06,1.1282433606927600,1.3201764705882400,1.1666299826718600
2018-07,1.1213921345376100,1.3038823529411800,1.1578901782183200
2018-08,1.1086233195347400,1.2943529411764700,1.1457692438630900
2018-09,1.1234369328553600,1.309764705882350,1.1607024874607600
2018-10,1.1565101270404000,1.3465882352941200,1.1945257486911400
2018-11,1.1507340023934000,1.3288823529411800,1.1863636725029600
2018-12,1.1081530402255000,1.253294117647060,1.1371812557098100
2019-01,1.047098729067660,1.206,1.0788789832541300
2019-02,1.0455507329457000,1.2254705882352900,1.0815347040036200
2019-03,1.0862751458890800,1.2615882352941200,1.1213377637700900
2019-04,1.1029911687241300,1.2975294117647100,1.1418988173322400
2019-05,1.123891441085640,1.3115882352941200,1.1614307999273400
2019-06,1.0842562100274500,1.246,1.1166049680219600
