feature,importance
lag12,0.38028178
MEAN_C_lag_2,0.20170265
import_qty_lag_3,0.08270463
PRECIPITATION_MM_lag_3,0.07569577
MXN_CAD_lag_1,0.0450543
integrated_gas_price_lag_1,0.043157894
lag1,0.04235688
lag3,0.040938236
USD_CAD_lag_1,0.032479152
lag6,0.028896281
lag2,0.026732478
