product,model,mae,rmse,mape,n_obs,n_folds,cv_initial_window,cv_horizon
avocado,baseline_naive,0.11020833333333331,0.13536216852084879,6.601072928923999,48,48,60,1
avocado,baseline_seasonal_naive,0.20104166666666665,0.2471799277179817,11.930062363832281,48,48,60,1
avocado,sarima_raw,0.10392222589030901,0.13346329160770537,6.270551960038069,48,48,60,1
avocado,sarima_log,0.10244014755187612,0.1312847974290947,6.1770837604063065,48,48,60,1
